iter	TotalF1	MultiClass
602	0.5890690786	0.8768056134
603	0.5893280406	0.8767093171
604	0.5892837781	0.8766730903
605	0.5894582146	0.8765399884
606	0.5892854776	0.8764905671
607	0.589435587	0.8764198495
608	0.5894108125	0.8763398148
609	0.589470131	0.8762659722
610	0.5896503244	0.8761881944
611	0.5897641837	0.8760893519
612	0.5897570941	0.8760059028
613	0.5898701863	0.8758945023
614	0.5901462174	0.8757736111
615	0.5901727024	0.8757266204
616	0.5900326989	0.8756907407
617	0.5899630497	0.8756068287
618	0.589910897	0.8755345486
619	0.5899968925	0.8754097801
620	0.5900358706	0.8753121528
621	0.5900472835	0.8752390625
622	0.5902432395	0.8751453704
623	0.590247557	0.8750913194
624	0.5905078335	0.8749079861
625	0.5904366981	0.8747849537
626	0.590409445	0.8747199074
627	0.5903923224	0.874665625
628	0.5905626361	0.874570544
629	0.5906307549	0.874505787
630	0.5906510458	0.8744049769
631	0.5907180135	0.8743415509
632	0.5908235378	0.8742246528
633	0.5908008756	0.8741338542
634	0.5908181532	0.8740975116
635	0.5906561237	0.8740029514
636	0.5908075744	0.8738912037
637	0.5909228667	0.8738144676
638	0.5908272688	0.8737622685
639	0.5909371574	0.8736907407
640	0.5911074553	0.8735383681
641	0.5910684887	0.8734118634
642	0.5911531362	0.8733552662
643	0.5913241548	0.8732539931
644	0.5913791673	0.8732111111
645	0.5915906213	0.8731081597
646	0.5916152181	0.8730344907
647	0.5917052017	0.87295
648	0.5917266401	0.8728664931
649	0.5919674435	0.872721412
650	0.5920901739	0.8726287616
651	0.5921286768	0.8725626736
652	0.5922022073	0.8724861111
653	0.592230956	0.8723950231
654	0.5923901843	0.872334375
655	0.5924105156	0.8722504051
656	0.5924193968	0.872189294
657	0.5924979897	0.8721238426
658	0.592562661	0.8720506366
659	0.5928570562	0.8719162037
660	0.5928232768	0.8718453704
661	0.5926694037	0.8717473958
662	0.5928066048	0.8716706597
663	0.5930869789	0.8716097801
664	0.5930857484	0.8715001157
665	0.5929176488	0.8713980324
666	0.593166169	0.871248669
667	0.5932558009	0.8711884259
668	0.5934494484	0.8710979745
669	0.5935086157	0.8710086806
670	0.5935489924	0.8709237847
671	0.5935858388	0.8708365162
672	0.593756867	0.8707054398
673	0.5938603769	0.8706251736
674	0.5940203453	0.8705107639
675	0.5940961662	0.8704498264
676	0.5940802913	0.8703833912
677	0.5940579954	0.8703792245
678	0.5942054373	0.8703045718
679	0.5942764694	0.8701940972
680	0.5944187845	0.8700926505
681	0.5945784771	0.8700017361
682	0.5946823909	0.8699045139
683	0.5947057819	0.8698484954
684	0.5947770833	0.8697559606
685	0.5947926723	0.8696976852
686	0.5948103251	0.869633044
687	0.5947383759	0.8696108218
688	0.5948245993	0.8695015046
689	0.5947758584	0.8693953125
690	0.5950403829	0.8692989583
691	0.5950373835	0.8692097222
692	0.5951819158	0.8691210648
693	0.5951323361	0.8690258102
694	0.5952484016	0.8688548032
695	0.5954291349	0.8687699653
696	0.5955398486	0.868641956
697	0.5955490719	0.8685596065
698	0.5955715753	0.8685149306
699	0.5954754378	0.8683903935
700	0.5955153155	0.8683125579
701	0.5955153155	0.8683118056
702	0.5954597026	0.868211169
703	0.595572099	0.8681266204
704	0.5957103471	0.8680634259
705	0.5957309269	0.8680177083
706	0.5958653069	0.8679467593
707	0.5958864372	0.8678815972
708	0.5960535516	0.8677451389
709	0.5960526533	0.8676685764
710	0.5961244424	0.8675985532
711	0.5960986416	0.8675614005
712	0.5962807454	0.8674835648
713	0.5962824288	0.8673910301
714	0.5963283045	0.8673689236
715	0.5964711501	0.8672675347
716	0.5965815251	0.8671850694
717	0.5964838611	0.8670781829
718	0.5965658285	0.8669771412
719	0.596559311	0.8669277778
720	0.5966016547	0.8668815394
721	0.5965139777	0.8668203704
722	0.5968232334	0.8667277778
723	0.5968002615	0.8666195023
724	0.5967784876	0.8665137153
725	0.5968627007	0.8664522569
726	0.5970425592	0.8663386574
727	0.5971795376	0.8662276042
728	0.5973019577	0.8660961227
729	0.5973809871	0.8660290509
730	0.597391567	0.8659542245
731	0.5973649689	0.8659042245
732	0.5977090312	0.8657601273
733	0.5976944703	0.8656576968
734	0.5979641475	0.8655524884
735	0.597997381	0.8654325231
736	0.5981212951	0.8654028356
737	0.5982017491	0.8652885995
738	0.598191634	0.8651979745
739	0.5981764721	0.8650932292
740	0.5982380249	0.8650248264
741	0.5982824918	0.8649707176
742	0.598367576	0.8649329861
743	0.5985299425	0.8648765046
744	0.5985516872	0.864763831
745	0.5985875426	0.8647229167
746	0.5985854203	0.8646563079
747	0.598615904	0.86458125
748	0.5987336704	0.8645168403
749	0.5987929827	0.8644795718
750	0.5990027564	0.8643912037
751	0.5989546797	0.8643311343
752	0.5990141887	0.8642537616
753	0.5990067443	0.8641788194
754	0.5989513449	0.8640815972
755	0.5990788919	0.864036169
756	0.5990502095	0.8639811921
757	0.5992513419	0.8639207176
758	0.59941536	0.8638537616
759	0.5994601411	0.8638303819
760	0.599453599	0.8637774884
